,23,Gx,Peg,,,0009.9+2555
,24,Gx,Scl,,,0009.9-2457
,125,Gx,Psc,,,0028.8+0250
,151,Gx,Cet,,,0034.0-0942
,175,Gx,Cet,,,0037.4-1956
,198,Gx,Psc,,,0039.4+0247
,206,+N,And,,,0040.5+4044
,214,Gx,And,,,0041.5+2529
,217,Gx,Cet,,,0041.6-1001
,315,Gx,Psc,,,0057.8+3021
,337,Gx,Cet,,,0059.8-0734
,357,Gx,Cet,,,0103.4-0620
,410,Gx,Psc,,,0111.0+3309
,428,Gx,Cet,,,0112.9+0058
,499,Gx,Psc,,,0123.2+3327
,513,Gx,And,,,0124.4+3347
,514,Gx,Psc,,,0124.1+1254
,604,Kt,Tri,,,0134.5+3047
,636,Gx,Cet,,,0139.1-0730
,660,Gx,Psc,,,0143.0+1338
,665,Gx,Psc,,,0144.9+1025
,672,Gx,Tri,,,0147.9+2725
,706,Gx,Psc,,,0151.8+0617
,718,Gx,Psc,,,0153.2+0411
,741,Gx,Psc,,,0156.3+0537
,821,Gx,Ari,,,0208.4+1059
,890,Gx,Tri,,,0222.0+3315
,896,Nb,Cas,,,0226.7+6201
,925,Gx,Tri,,,0227.3+3334
,991,Gx,Cet,,,0235.5-0709
,1003,Gx,Per,,,0239.3+4052
,1012,Gx,Ari,,,0239.2+3009
,1032,Gx,Cet,,,0239.4+0105
,1035,Gx,Cet,,,0239.5-0807
,1045,Gx,Cet,,,0240.5-1116
,1058,Gx,Per,,,0243.5+3720
,1060,Gx,Tri,,,0243.2+3228
,1070,Gx,Cet,,,0243.4+4058
,1073,Gx,Cet,,,0243.7+0122
,1087,Gx,Cet,,,0246.4-0030
,1090,Gx,Cet,,,0246.6-0014
,1114,Gx,Eri,,,0249.1-1659
,1156,Gx,Ari,,,0259.7+2514
,1161,Gx,Per,,,0301.2+2555
,1162,Gx,Per,,,0258.9+4453
,1169,Gx,Per,,,0303.6+4623
,1172,Gx,Eri,,,0301.6-1450
,1175,Gx,Per,,,0304.5+2555
,1184,Gx,Cep,,,0316.7+4220
,1187,Gx,Eri,,,0302.6-2252
,1193,OC,Per,,,0305.9+4423
,1199,Gx,Eri,,,0303.6-1536
,1207,Gx,Per,,,0308.2+2555
,1209,Gx,Eri,,,0306.0+3822
,1325,Gx,Eri,,,0324.4-1536
,1332,Gx,Eri,,,0326.3-2120
,1348,OC,Per,,,0334.2+5125
,1353,Gx,Eri,,,0332.0-2049
,1400,Gx,Eri,,,0339.5-1841
,1421,Gx,Eri,,,0342.5-1329
,1491,Nb,Per,,,0403.6+5117
,1507,Gx,Eri,,,0404.4-0211
,1514,Pl,Tau,,,0409.3+3046
,1579,Nb,Per,,,0430.1+3517
,1582,OC,Per,,,0432.1+4351
,1587,Gx,Tau,,,0430.6+0039
,1600,Gx,Eri,,,0431.6-0505
,1605,OC,Per,,,0434.9+4516
,1618,Gx,Eri,,,0436.1-0309
,1624,+N,Per,,,0440.6+5027
,1637,Gx,Eri,,,0441.5-0251
,1662,OC,Ori,,,0448.5+1056
,1663,OC,Ori,,,0448.6+1308
,1700,Gx,Eri,,,0456.9-0451
,1762,Gx,Ori,,,0503.6+0134
,1778,OC,Aur,,,0508.1+3701
,1779,Gx,Eri,,,0505.3-0908
,1832,Gx,Lep,,,0512.0-1541
,1883,OC,Aur,,,0525.9+4629
,1977,Nb,Ori,,,0535.3-0449
,1985,Nb,Aur,,,0537.8+3159
,2023,Nb,Ori,,,0541.7-0215
,2071,Nb,Ori,,,0547.1+0018
,2112,OC,Ori,,,0553.8+0024
,2139,Gx,Lep,,,0601.1-2340
,2170,Nb,Mon,,,0607.5-0624
,2182,Nb,Mon,,,0609.5-0619
,2192,OC,Aur,,,0615.3+3951
,2196,Gx,Lep,,,0612.2-2148
,2236,OC,Mon,,,0629.7+0649
,2245,Nb,Mon,,,0632.7+1009
,2252,OC,Mon,,,0635.0+0522
,2254,OC,Mon,,,0636.0+0740
,2259,OC,Mon,,,0638.4+1052
,2261,Nb,Mon,,,0639.2+0844
,2269,OC,Mon,,,0643.3+0437
,2274,Gx,Gem,,,0647.3+3334
,2283,Gx,CMa,,,0645.9-1812
,2302,OC,Mon,,,0651.9-0705
,2309,OC,Mon,,,0656.1-0710
,2316,Nb,Mon,,,0659.7-0746
,2331,OC,Gem,,,0707.2+2717
,2339,Gx,Gem,,,0708.3+1846
,2346,Pl,Mon,,,0709.4-0048
,2347,Gx,Cam,,,0716.1+6442
,2359,Nb,CMa,,,0718.5-1312
,2366,Gx,Cam,,,0728.9+6912
,2367,OC,CMa,,,0720.1-2153
,2374,OC,CMa,,,0724.0-1315
,2396,OC,Pup,,,0728.0-1143
,2414,OC,Pup,,,0733.2-1527
,2415,Gx,Lyn,,,0736.9+3514
,2432,OC,Pup,,,0740.9-1905
,2467,+N,Pup,,,0752.5-2625
,2493,Gx,Lyn,,,0800.4+2949
,2500,Gx,Lyn,,,0801.9+5044
,2525,Gx,Pup,,,0805.6-1125
,2541,Gx,Lyn,,,0814.7+4903
,2610,Pl,Hya,,,0833.4-1608
,2639,Gx,UMa,,,0843.6+5012
,2756,Gx,UMa,,,0909.0+5350
,2765,Gx,Hya,,,0907.6+0323
,2781,Gx,Hya,,,0911.4-1449
,2784,Gx,Hya,,,0912.3-2410
,2805,Gx,UMa,,,0920.3+6406
,2855,Gx,Hya,,,0921.4-1154
,2880,Gx,UMa,,,0929.6+6229
,2889,Gx,Hya,,,0927.2-1159
,2986,Gx,Hya,,,0944.2-2116
,3065,Gx,UMa,,,1001.9+7210
,3067,Gx,Leo,,,0958.4+3222
,3073,Gx,UMa,,,1000.9+5537
,3078,Gx,Hya,,,0958.4-2655
,3107,Gx,Leo,,,1004.4+1337
,3145,Gx,Hya,,,1010.2-1226
,3156,Gx,Sex,,,1012.7+0307
,3158,Gx,LMi,,,1013.8+3845
,3162,Gx,Leo,,,1013.5+2244
,3177,Gx,Leo,,,1016.6+2107
,3225,Gx,UMa,,,1025.2+5809
,3254,Gx,LMi,,,1029.3+2929
,3274,Gx,Leo,,,1032.3+2740
,3301,Gx,Leo,,,1036.9+2152
,3319,Gx,UMa,,,1039.2+4141
,3338,Gx,Leo,,,1042.1+1344
,3359,Gx,UMa,,,1046.6+6313
,3424,Gx,LMi,,,1051.8+3254
,3430,Gx,LMi,,,1052.2+3256
,3507,Gx,Leo,,,1103.4+1808
,3511,Gx,Crt,,,1103.4-2305
,3513,Gx,Crt,,,1103.8-2314
,3516,Gx,UMa,,,1106.8+7234
,3524,Gx,Leo,,,1106.5+1123
,3547,Gx,Leo,,,1109.9+1043
,3583,Gx,UMa,,,1114.2+4819
,3585,Gx,Hya,,,1113.3-2645
,3596,Gx,Leo,,,1115.1+1447
,3599,Gx,Leo,,,1115.4+1806
,3605,Gx,Leo,,,1116.8+1801
,3611,Gx,Leo,,,1117.5+0433
,3622,Gx,UMa,,,1120.2+6714
,3636,Gx,Crt,,,1120.4-1016
,3637,Gx,Crt,,,1120.6-1015
,3642,Gx,UMa,,,1122.3+5904
,3646,Gx,Leo,,,1121.7+2010
,3652,Gx,UMa,,,1122.6+3746
,3659,Gx,Leo,,,1123.8+1749
,3666,Gx,Leo,,,1124.4+1120
,3668,Gx,UMa,,,1125.5+6326
,3669,Gx,UMa,,,1125.4+5743
,3672,Gx,Crt,,,1125.0-0947
,3681,Gx,Leo,,,1126.5+1651
,3682,Gx,Dra,,,1127.7+6635
,3683,Gx,UMa,,,1127.5+5652
,3689,Gx,Leo,,,1128.2+2539
,3693,Gx,Crt,,,1128.2-1311
,3705,Gx,Leo,,,1130.1+0916
,3732,Gx,Crt,,,1134.2-0950
,3756,Gx,UMa,,,1136.8+5417
,3887,Gx,Crt,,,1147.1-1651
,3892,Gx,Crt,,,1148.0-1057
,4013,Gx,UMa,,,1158.5+4356
,4024,Gx,Crv,,,1158.5-1820
,4039,Gx,Crv,,,1201.9-1853
,4045,Gx,Vir,,,1202.7+0158
,4047,Gx,UMa,,,1202.8+4838
,4062,Gx,UMa,,,1204.0+3153
,4073,Gx,Vir,,,1204.4+0153
,4096,Gx,UMa,,,1206.0+4728
,4100,Gx,UMa,,,1206.1+4934
,4105,Gx,Hya,,,1206.7-2945
,4124,Gx,Vir,,,1208.2+1022
,4133,Gx,Dra,,,1208.8+7454
,4136,Gx,Com,,,1209.3+2955
,4138,Gx,CVn,,,1209.5+4341
,4144,Gx,UMa,,,1210.0+4627
,4152,Gx,Com,,,1210.6+1602
,4157,Gx,UMa,,,1211.1+5029
,4168,Gx,Vir,,,1212.3+1312
,4169,Gx,Com,,,1212.3+2910
,4185,Gx,Com,,,1213.4+2830
,4189,Gx,Com,,,1213.8+1325
,4212,Gx,Com,,,1215.6+1354
,4217,Gx,CVn,,,1215.8+4705
,4220,Gx,Cvn,,,1216.2+4753
,4224,Gx,Vir,,,1216.6+0727
,4233,Gx,Vir,,,1217.1+0737
,4235,Gx,Vir,,,1217.2+0711
,4236,Gx,Dra,,,1216.7+6928
,4237,Gx,Com,,,1217.2+1519
,4241,Gx,Vir,,,1217.4+0641
,4244,Gx,CVn,,,1217.5+3749
,4248,Gx,CVn,,,1217.8+4724
,4250,Gx,Dra,,,1217.4+7048
,4256,Gx,Dra,,,1218.7+6553
,4260,Gx,Vir,,,1219.4+0605
,4264,Gx,Vir,,,1219.6+0550
,4267,Gx,Vir,,,1219.8+1247
,4270,Gx,Vir,,,1219.8+0527
,4271,Gx,UMa,,,1219.6+5644
,4290,Gx,UMa,,,1220.8+5805
,4291,Gx,Dra,,,1220.3+7522
,4294,Gx,Vir,,,1221.3+1130
,4298,Gx,Com,,,1221.5+1436
,4299,Gx,Vir,,,1221.7+1130
,4302,Gx,Com,,,1221.7+1435
,4310,Gx,Com,,,1222.4+2912
,4312,Gx,Com,,,1222.5+1532
,4313,Gx,Vir,,,1222.6+1148
,4319,Gx,Dra,,,1221.7+7519
,4336,Gx,Com,,,1223.5+2555
,4339,Gx,Vir,,,1223.6+1825
,4340,Gx,Com,,,1223.6+1643
,4343,Gx,Vir,,,1223.6+0657
,4359,Gx,Com,,,1224.2+3131
,4369,Gx,CVn,,,1224.6+3922
,4379,Gx,Com,,,1225.2+1536
,4395,Gx,CVn,,,1225.8+3332
,4487,Gx,Vir,,,1231.1-0803
,4517,Gx,Vir,,,1232.8+0006
,4519,Gx,Vir,,,1233.5+0839
,4571,Gx,Com,,,1236.9+1413
,4586,Gx,Vir,,,1238.5+0419
,4605,Gx,UMa,,,1240.0+6136
,4608,Gx,Vir,,,1241.2+1009
,4612,Gx,Vir,,,1241.5+0718
,4639,Gx,Vir,,,1242.9+1315
,4647,Gx,Vir,,,1243.5+1134
,4691,Gx,Vir,,,1248.2-0319
,4742,Gx,Vir,,,1251.8-1027
,4880,Gx,Vir,,,1300.2+1229
,4902,Gx,Vir,,,1301.0-1430
,4904,Gx,Vir,,,1301.0-0001
,4914,Gx,CVn,,,1300.7+3718
,4915,Gx,Vir,,,1301.5-0432
,4928,Gx,Vir,,,1303.0-0805
,4939,Gx,Vir,,,1304.2-1020
,4941,Gx,Vir,,,1304.2-0533
,4956,Gx,CVn,,,1305.0+3510
,4981,Gx,Vir,,,1308.8-0646
,4984,Gx,Vir,,,1309.0-1530
,4999,Gx,Vir,,,1309.6+0140
,5012,Gx,Com,,,1311.6+2254
,5018,Gx,Vir,,,1313.0-1931
,5020,Gx,Vir,,,1312.7+1235
,5023,Gx,CVn,,,1312.2+4402
,5037,Gx,Vir,,,1315.0-1635
,5044,Gx,Vir,,,1315.4-1623
,5053,Gb,Com,,,1316.4+1741
,5056,Gx,Com,,,1316.2+3056
,5061,Gx,Hya,,,1318.1-2650
,5068,Gx,Vir,,,1318.9-2102
,5077,Gx,Vir,,,1319.5-1239
,5078,Gx,Hya,,,1319.8-2724
,5084,Gx,Vir,,,1320.3-2149
,5087,Gx,Vir,,,1320.4-2036
,5103,Gx,CVn,,,1320.5+4305
,5129,Gx,Vir,,,1324.2+1358
,5134,Gx,Vir,,,1325.3-2108
,5204,Gx,UMa,,,1329.6+5825
,5308,Gx,UMa,,,1347.0+6058
,5371,Gx,CVn,,,1355.6+4027
,5383,Gx,CVn,,,1357.1+4150
,5426,Gx,Vir,,,1403.4-0604
,5430,Gx,UMa,,,1400.8+4150
,5440,Gx,CVn,,,1403.0+3445
,5443,Gx,UMa,,,1402.2+5548
,5444,Gx,CVn,,,1403.4+3507
,5445,Gx,CVn,,,1403.5+3501
,5447,Kt,UMa,,,1402.5+7836
,5448,Gx,UMa,,,1402.8+4910
,5462,Kt,UMa,,,1403.9+1015
,5480,Gx,UMa,,,1406.4+5043
,5481,Gx,UMa,,,1406.7+5043
,5485,Gx,UMa,,,1407.2+5500
,5490,Gx,Boo,,,1410.0+1732
,5493,Gx,Vir,,,1411.5-0502
,5506,Gx,Vir,,,1413.2-0312
,5507,Gx,Vir,,,1413.3-0308
,5520,Gx,Boo,,,1412.4+5020
