Page,NGC,Type,1951.0+2304,Mag.,Size,Coord.,Description
,4995,G,Vir,11.2,2x1.1,1309.7-0750,sp sl elong elus uniform av
,5054,G,Vir,11.5,3.8x2.2,1317.0-1638,sp elong elus uniform av
,5363,G,Vir,10.7,1x1.4,1356.1+0515,wl round brt nucl stands out wel
,5364,G,Vir,11,6.2x3,1356.2+0501,sp lg elong faint av
,5566,G,Vir,10.4,5.6x1.1,1420.3+0356,sp edgeon faint lg brt nuc elus
,5576,G,Vir,11.7,1x.8,1421.1+0316,el small faint  brt nuc  nebulosity
,5634,GC,Vir,10.4,1.3,1429.6-0559,small fuzzy patch opaque oval
,5746,G,Vir,10.1,6.2x.8,1444.9+0157,sp edge-on needle faint large elus
,5846,G,Vir,10.5,.9x.9,1506.4+0136,el small circular fairly bright
,6802,OC,Vul,11,3.5,1930.6+2016,faint small opaque disk of stars
,6823,OC,Vul,9.8,5,1943.1+2318,30 stars some nebulosity
,6830,OC,Vul,9,8,1951.0-2304,20 stars brt large easy
,6882,OC,Vul,5.5,,2011.7+2633,20 stars small in a rich field
,6885,OC,Vul,9.1,20,2012.0+2629,42 stars large a brt star rich
,6940,OC,Vul,6.5,10,2034.6+2818,100 stars very brt rich large
