Page,NGC,Type,1951.0+2304,Mag.,Size,Coord.,Description
,2489,OC,Pup,9.4,7,0756.2-3004,30 stars circular 2 brt st easy
,2509,OC,Pup,9.3,4,0800.2-1904,40 stars some brt most faint
,2527,OC,Pup,8,22,0805.3-2810,50 stars loose scattered
,2539,OC,Pup,8.2,21,0810.7-1250,a brt center blue one  19 Pup
,2567,OC,Pup,8.3,10,0818.6-3038,50 stars brt + faint ones
,2571,OC,Pup,7.5,8,0818.9-2944,25 stars loose irregular faint
,2613,G,Pyx,11,6.6x1.3,0833.4-2258,sp edge-on elus difficult
,2627,OC,Pyx,8.3,8,0837.3-2957,40 stars small hard distinguih
,253,G,Scl,7.1,25.1,0047.6-2517,sp elongated brt center
,288,GC,Scl,8.1,13.8,0052.8-2635,large  bright nucleus
,613,G,Scl,10.2,4x2,0134.3-2925,Bsp slightly elongated
,6144,GC,Sco,10.5,3.3,1627.3-2602,faint oval fairly large elusive
,6451,OC,Sco,8.5,6,1750.7-3013,tightly grouped large faint in
,6664,OC,Sct,8.9,18,1836.7-0813,25 stars poor loose scattered
,6712,GC,Sct,10,2.1,1853.1-0842,round opaque touches PN IC1298
,6118,G,Ser,11.5,4.3x1.3,1621.8-0217,sp Blinking Galaxy elus near mag 6
,2974,G,Sex,11,1.5x.9,0942.6-0342,sp elong fuzzy low surf brt
,3115,G,Sex,9.3,4x1.2,1005.2-0743,el small circular
,3166,G,Sex,11.4,4.4x1.7,1013.8+0326,sp brt nucleus round field 3169
,3169,G,Sex,11.7,4x1.7,1014.2+0328,sp brt nucleus sl round
,6440,GC,Sgr,10.4,0.7,1748.9-2022,brt nucleus no resolution
,6445,PN,Sgr,11,38x29,1749.2-2001,circular brt blue-green
,6514,OC,Sgr,6.9,29x27,1802.3-2302,M20     Trifid Nebula star cluster
,6520,OC,Sgr,8.1,5,1803.4-2754,25 stars easily resolvable
,6522,GC,Sgr,9.5,0.7,1803.6-3002,faint small some resolution
,6528,GC,Sgr,10.5,0.5,1804.8-3003,near 6522 some resolution
,6540,OC,Sgr,11,0.5,1806.3-2749,20 stars rich small diffuse
,6544,GC,Sgr,10,1,1807.3-2500,brt oval resolution good edges
,6553,GC,Sgr,10,1.7,1809.3-2554,righ tight fuzzy resolution
,6568,OC,Sgr,8.5,,1812.8-2136,33 stars loose poor wide
,6569,GC,Sgr,10.4,1.4,1813.6-3150,easy faint brt central area
,6583,OC,Sgr,11.5,1.5,1815.8-2208,elus faint rich like a globular
,6624,GC,Sgr,9.5,2,1823.7-3022,fairly large brt nucleus
,6629,PN,Sgr,10.6,16x14,1825.7-2312,circular no color brt nucleus
,6638,GC,Sgr,10.2,1.4,1830.9-2530,small faint elusive
,6642,GC,Sgr,10.5,1,1831.9-2329,very faint small elusive
,6645,OC,Sgr,8.5,10,1832.6-1654,50 stars rich compressed brt
,6818,PN,Sgr,10,22x15,1944.0-1409,diffuse fuzzy rount some blue
,1647,OC,Tau,6,,0446.0+1904,30 stars round double stars
,1750,OC,Tau,0,45,0503.9+2339,Part of NGC 1746  3 clusters
,1817,OC,Tau,7.9,15,0512.2+1642,16 stars loose scattered poor
,598,G,Tri,5.7,62,0133.9+3039,M33
,2681,G,UMa,10.4,2.8x2.5,0853.5+5119,sp circular faint fuzzy
,2742,G,UMa,11.2,2.5x1,0907.6+6029,sp elongated elus
,2768,G,UMa,10.5,2x1,0911.6+6002,el sl elong same field NGC 2742
,2787,G,UMa,10.9,2x1.3,0919.3+6912,sp elong near 2 brt stars
,2841,G,UMa,9.3,6.4x2.4,0922.0+5058,sp brt elong easy
,2950,G,UMa,10.9,1.3x.9,0942.6+5851,sp starlike fuzzy nebul on edges
,2976,G,UMa,8.5,10,0947.3+6755,
,2985,G,UMa,10.6,5.5x5,0950.4+7217,sp brt nucleus easy
,3034,G,UMa,8.8,9x4,0955.8+6941,pec M82
,3077,G,UMa,10.9,2.3x1.9,1003.3+6844,el faint low surf brt comp. M81
,3079,G,UMa,11.2,8x1,1002.0+5541,sp edge-on faint difficult
